sentence,category,score
We shall come back to this submission after we have addressed the current tests in the developed common law jurisdictions on the duty of care.,UNCAT,0.979176819
"27     The current state of the law in Singapore on liability in negligence for pure economic loss, and indeed for physical damage, is not entirely satisfactory.",UNCAT,0.991626859
"Liability for pure economic loss (which is the subject matter of the appeal before us) is an issue of great complexity and one that imposes on the courts a great responsibility as this is an area of law where the determination of liability has been and will continue to be, unless the Legislature intervenes, the exclusive domain of the Judiciary.",UNCAT,0.955545843
Judicial adjudication of claims for pure economic loss calls for caution and judiciousness in not extending the limits of liability for negligent acts to avoid any unforeseen economic cost to the public in the court’s desire to do justice to the claimant in the particular case.,UNCAT,0.827576637
It is par excellence a policy decision for the court to make.,UNCAT,0.982295036
"To begin with, although the English courts have thought fit not to allow recovery of pure economic loss, the Singapore courts have taken a different path and have allowed recovery of such losses in a few decisions.",UNCAT,0.886130989
"Whether these decisions have laid down a general principle, that pure economic loss can be recovered in all cases of negligence, is a matter we wish to re-examine because of its implications for the redistribution of wealth in the economy.",AXIOM,0.355401188
"Furthermore, it is important that we revisit this issue as the Singapore courts have also applied a different test to determine the existence of a duty of care when the type of damages claimed is pure economic loss, and when it is for loss associated with physical damage, even though the foundation of the two different tests is derived from a common source, viz, the well-known English decisions in Anns and Caparo.",AXIOM,0.468669564
Preliminary observations,UNCAT,1
28     A few preliminary observations are apposite at this juncture.,UNCAT,1
"The common law is built on interconnected layers of principles, universal and particular, each dependent on and interacting with the other, held together by the overarching goal of fairness and justice.",AXIOM,0.807329416
To understand this is to comprehend the common law’s eternal search for rational and universal principles in the law.,AXIOM,0.885495305
"Thus, in the area of negligence, the principles relating to the imposition of a duty of care must be rational and coherent and be reliably and consistently determined.",UNCAT,0.978590846
"With the universal in the form of general principles, the law will be a coherent body of rules, and not consist of singular instances of judicial decisions unrelated to each other.",AXIOM,0.888190925
"However, to have the universal without the particular is to lose sight of the need for practical solutions for the myriad of disputes that come before the courts.",UNCAT,0.807005763
"These general principles provide the focus to which the particular (viz, the facts of decided cases and the present case) must then be analysed so that the courts may, within this aggregation of the universal and the particular, reach a result that is fair and just.",AXIOM,0.456027955
As Cooke P put it in South Pacific Manufacturing Co Ltd v New Zealand Security Consultants & Investigations Ltd [1992] 2 NZLR 282 at 294:,AXIOM,0.809111536
"A broad two-stage approach or any other approach is only a framework, a more or less methodical way of tackling a problem.",LEGAL_TEST,0.660865009
However it is formulated should not matter in the end.,UNCAT,0.989757895
Ultimately the exercise can only be a balancing one and the important object is that all relevant factors be weighed.,UNCAT,0.997108519
"There is no escape from the truth that, whatever formula be used, the outcome in a grey area case has to be determined by judicial judgment.",AXIOM,0.469780326
Formulae can help to organise thinking but they cannot provide answers. [,UNCAT,0.999843001
emphasis added],UNCAT,1
"Ultimately, the resolution of a claim in negligence should be based on general principles that have universal application to every factual situation which gives rise to a legal dispute either on liability or damages.",AXIOM,0.515945375
"29     In the tort of negligence, careless conduct cannot, by itself, be used as a basis for tortious liability.",AXIOM,0.840912461
"It is only carelessness within the context of breach of a duty to take care vis-à-vis another person that there is liability in negligence, and hence the necessity to determine the circumstances in which the duty of care arises.",UNCAT,0.891198456
"In other words, even if duty sets the boundaries of liability (as Prof Tan Keng Feng put it in “The Three-Part Test: Yet Another Test of Duty in Negligence” (1989) 31 Mal L Rev 223 at 225), it also sets the limits on duty where liability is seen to be indeterminate.",UNCAT,0.554201484
The two concepts of duty and liability are of course related but at the same time each affects the operation of the other.,UNCAT,0.993580937
The difficulty is in balancing the goal of a fair and just result for the parties and the imposition of indeterminate liability on an indeterminate class of tortfeasors.,UNCAT,0.969779134
That is the primary responsibility of the courts in developing the tort of negligence.,UNCAT,0.999803603
How to do so without compromising on the usefulness of the tort of negligence as a tool for the redistribution of economic wealth fairly between tortfeasors and their victims is essentially the crucial issue for the courts.,UNCAT,0.698489845
"Unlike contract, where the rights and liabilities of the parties are primarily agreed or fixed between themselves, tortious liability occurs independently of the parties’ intentions and is hence liable to manifest itself in, potentially, an infinite number of situations, given that carelessness is a human frailty.",UNCAT,0.941575348
"This was what Cardozo CJ was afraid of in Ultramares Corp v Touche, Niven & Co 255 NY 170 (1931) at 179, ie, the imposition of “liability in an indeterminate amount for an indeterminate time to an indeterminate class”.",CONCLUSION,0.69458282
"Lord Buckmaster also alluded to this concern when he said in Donoghue v Stevenson [1932] AC 562 at 577, “If one step, why not fifty?”",LEGAL_TEST,0.732232213
30     The answer to this lies in legal control mechanisms for which the courts are primarily responsible.,UNCAT,0.99719882
"Lord Atkin, who may be regarded as the founder of the modern law of negligence, referred to this heavy responsibility in Donoghue v Stevenson (at 583–584):",AXIOM,0.833708167
"[I]n the branch of the law which deals with civil wrongs, dependent in England at any rate entirely upon the application by judges of general principles also formulated by judges, it is of particular importance to guard against the danger of stating propositions of law in wider terms than is necessary, lest essential factors be omitted in the wider survey and the inherent adaptability of English law be unduly restricted. [",AXIOM,0.727766156
emphasis added],UNCAT,1
"Indeed, the various tests which have been applied by the courts following Donoghue v Stevenson are but a manifestation of one or more of the legal control mechanisms formulated by the courts within the general principles.",AXIOM,0.956766903
"It is essential, at the outset, to note that although there are now many such mechanisms, they all serve the singular purpose of limiting liability, albeit in different ways.",UNCAT,0.997096777
"To put it another way, these legal control mechanisms ultimately seek to limit liability by resorting to the use of different conceptual tests, such as reasonable foreseeability, proximity or public policy.",UNCAT,0.990184128
The different tests in England,UNCAT,1
The neighbour principle and its development,UNCAT,0.999997258
"31     Although there were some cases prior to 1932 which purported to articulate some kind of general principle to determine the existence of a duty of care (see, for example, Heaven v Pender (1883) 11 QBD 503 at 509, per Brett MR), the search for a universal basis for duty is generally regarded to have begun with the House of Lords decision of Donoghue v Stevenson.",AXIOM,0.810705662
"In that case, Lord Atkin famously said (at 580):",UNCAT,0.999981999
"The rule that you are to love your neighbour becomes in law, you must not injure your neighbour; and the lawyer’s question, Who is my neighbour?",UNCAT,0.525822639
receives a restricted reply.,UNCAT,1
You must take reasonable care to avoid acts or omissions which you can reasonably foresee would be likely to injure your neighbour.,UNCAT,0.999389768
"Who, then, in law, is my neighbour?",UNCAT,0.998819172
The answer seems to be – persons who are so closely and directly affected by my act that I ought reasonably to have them in contemplation as being so affected when I am directing my mind to the acts or omissions which are called in question.,UNCAT,0.775858045
"This statement was then generally understood to mean that liability was founded on the test of pure foreseeability alone: see Hay or Bourhill v Young [1943] AC 92 at 107, where Lord Wright accepted Lord Atkin’s statement as establishing the “general concept of reasonable foresight as the criterion of negligence”.",LEGAL_TEST,0.985428154
"32     However, it soon became apparent that a test based on foreseeability alone could be too wide and too pliable as a basis of liability in some situations.",LEGAL_TEST,0.897671103
"In order to limit or exclude what was deemed as unwarranted recovery, the courts frequently resorted to deciding artificially that certain claimants were “unforeseeable”: see Prof Tan ([29] supra) at 225.",UNCAT,0.981164455
This led Lord Denning to consider foreseeability and the existence of a duty as simply a question of public policy.,UNCAT,0.723818302
"In Spartan Steel & Alloys Ltd v Martin & Co (Contractors) Ltd [1973] QB 27, Lord Denning MR said (at 36):",AXIOM,0.739618123
"Whenever the courts draw a line to make out the bounds of duty, they do it as matter of policy so as to limit the responsibility of the defendant. [",UNCAT,0.963113606
emphasis added].,UNCAT,1
"Similarly, in Dorset Yacht Co Ltd v Home Office [1969] 2 QB 412, Lord Denning MR said (at 426):",CONCLUSION,0.990026116
"[Duty] is, I think, at bottom a matter of public policy which we, as judges, must resolve.",UNCAT,0.998887837
This talk of “duty” or “no duty” is simply a way of limiting the range of liability for negligence.,UNCAT,0.998425961
The two-stage test in Anns,LEGAL_TEST,0.999492764
"33     The pendulum which swung between foreseeability and policy as the determinant of duty showed signs of resting in Arenson v Casson Beckman Rutley & Co [1977] AC 405, in which Lord Simon of Glaisdale appeared to endorse the idea that where Lord Atkin’s neighbour principle was seen as fixing the defendant with responsibility for the claimant’s damage, liability should follow, save where there was some good reason why it should not, and identified “public policy” as the qualifying factor (at 419).",LEGAL_TEST,0.482337773
"That pendulum finally became stationary in favour of an approach which meshed foreseeability with public policy in Anns ([23] supra), where Lord Wilberforce influentially said (at 751–752):",CONCLUSION,0.844003201
"[I]n order to establish that a duty of care arises in a particular situation, it is not necessary to bring the facts of that situation within those of previous situations in which a duty of care has been held to exist.",UNCAT,0.914004982
Rather the question has to be approached in two stages.,ISSUE,0.781722307
"First one has to ask whether, as between the alleged wrongdoer and the person who has suffered damage there is a sufficient relationship of proximity or neighbourhood such that, in the reasonable contemplation of the former, carelessness on his part may be likely to cause damage to the latter – in which case a prima facie duty of care arises.",UNCAT,0.859581769
"Secondly, if the first question is answered affirmatively, it is necessary to consider whether there are any considerations which ought to negative, or to reduce or limit the scope of the duty or the class of persons to whom it is owed or the damages to which breach of it may give rise … [emphasis added]",UNCAT,0.4336465
"34     It is well known that there is some controversy regarding the meaning of the first stage of the test: Did it relate only to the factual issue of reasonable foreseeability or did it introduce the legal conception of proximity (see further Phang, Saw & Chan ([26] supra) at 40–41)?",LEGAL_TEST,0.692225039
We will revisit this problem later (see [74] below).,UNCAT,0.90642947
"For the moment, it suffices to note that this pronouncement in Anns is not only significant for the elucidation of a two-stage test to determine duty, it also introduced the concept of a truly “universal” test in that it could be applied without reference to previous decisions where the duty might or might not have been seen to have existed.",LEGAL_TEST,0.491066545
"This attracted considerable criticisms from many other judges who thought that the much sought-after universal basis for duty is unattainable and even undesirable, and that an incremental approach based on previous decisions on a case by case basis was less subjective and therefore preferable.",UNCAT,0.502868593
"35     In our view, these criticisms have arisen because of the perceived divorce of the particular from the universal (see [28] above).",ISSUE,0.365227997
"Whether or not Lord Wilberforce intended for his test to apply in a vacuum, distanced from all considerations of prior decisions, is not exactly clear, since the essence of the common law (which Lord Wilberforce must have known) is by its very nature incremental.",CONCLUSION,0.469236583
"A fair reading of the sentence (see [33] above) beginning with “in order to establish … it is not necessary to bring the facts within those of previous situations” does not preclude an incremental approach as the expression “the facts” does necessarily connote all the facts, and is capable of implying that it is only necessary to bring only some of the facts.",CONCLUSION,0.756091952
"However, as the formula was perceived as such, it led to the concern of a potentially uncontrollable expansion of liability.",UNCAT,0.999624848
The two-stage test in Anns doubted and overruled,LEGAL_TEST,0.964364648
36     This concern led to a check of the advance of the two-stage test in Anns as doctrine.,UNCAT,0.713721871
"In Governors of the Peabody Donation Fund v Sir Lindsay Parkinson & Co Ltd [1985] AC 210, after quoting Lord Wilberforce’s test, Lord Keith of Kinkel made the criticism (at 240) that:",LEGAL_TEST,0.466029078
There has been a tendency in some recent cases to treat these passages as being themselves of a definitive character.,UNCAT,0.560295522
This is a temptation which should be resisted.,UNCAT,0.999999285
"Similarly, the Australian High Court gave reasons in Sutherland Shire Council v Heyman (1985) 60 ALR 1 (“Sutherland”) for declining to follow the direction in which Anns appeared to be taking the law in England.",CONCLUSION,0.903262317
Brennan J stated (at 43–44) that it was preferable that:,UNCAT,0.972452104
"[T]he law should develop novel categories of negligence incrementally and by analogy with established categories, rather than by a massive extension of a prima facie duty of care restrained only by indefinable “considerations which ought to negative, or to reduce or limit the scope of the duty or the class of person to whom it is owed”.",UNCAT,0.911760151
"37     Following this, Lord Brandon of Oakbrook remarked in Leigh and Sillavan Ltd v Aliakmon Shipping Co Ltd [1986] AC 785 at 815 that the propositions laid down by Lord Wilberforce in Anns “[do] not provide, and cannot … have been intended by Lord Wilberforce to provide, a universally applicable test of the existence and scope of a duty of care in the law of negligence”.",AXIOM,0.615044296
"The Privy Council in Yuen Kun Yeu v Attorney-General of Hong Kong [1988] AC 175 (“Yuen Kun Yeu”) further expressed the opinion that whether or not a duty of care in negligence existed would depend primarily upon foreseeability of damage, together with the existence of a close and direct relationship or proximity between the parties, and that, occasionally, it would be necessary to go on to consider whether public policy required that liability should not attach.",UNCAT,0.793422222
"Lord Keith of Kinkel observed in Yuen Kun Yeu (at 191) that the two-stage test in Anns “has been elevated to a degree of importance greater than it merits, and greater perhaps than its author intended”.",UNCAT,0.946738541
38     The two-stage test in Anns was finally overruled by the House of Lords in Murphy v Brentwood District Council [1991] 1 AC 398 (“Murphy”).,CONCLUSION,0.556170821
"In unanimously holding that the defendant council owed no duty of care to the claimant (a subsequent home owner) in respect of pure economic loss, Lord Keith of Kinkel observed thus (at 471):",UNCAT,0.985440791
"In my opinion it is clear that Anns did not proceed upon any basis of established principle, but introduced a new species of liability governed by a principle indeterminate in character but having the potentiality of covering a wide range of situations, involving chattels as well as real property, in which it had never hitherto been thought that the law of negligence had any proper place.",AXIOM,0.691376805
He continued (at 471–472):,UNCAT,1
In my opinion there can be no doubt that Anns has for long been widely regarded as an unsatisfactory decision.,UNCAT,0.99210453
"In relation to the scope of the duty owed by a local authority it proceeded upon what must, with due respect to its source, be regarded as a somewhat superficial examination of principle and there has been extreme difficulty, highlighted most recently by the speeches in [D & F Estates Ltd v Church Commissioners for England [1989] AC 177], in ascertaining upon exactly what basis of principle it did proceed.",AXIOM,0.675809026
"I think it must now be recognised that it did not proceed on any basis of principle at all, but constituted a remarkable example of judicial legislation.",UNCAT,0.981617987
"It has engendered a vast spate of litigation, and each of the cases in the field which have reached this House has been distinguished.",UNCAT,0.99714005
Others have been distinguished in the Court of Appeal.,UNCAT,0.999437749
"The result has been to keep the effect of the decision within reasonable bounds, but that has been achieved only by applying strictly the words of Lord Wilberforce and by refusing to accept the logical implications of the decision itself.",CONCLUSION,0.397041053
These logical implications show that the case properly considered has potentiality for collision with long-established principles regarding liability in the tort of negligence for economic loss.,UNCAT,0.65254575
There can be no doubt that to depart from the decision would re-establish a degree of certainty in this field of law which it has done a remarkable amount to upset.,CONCLUSION,0.6044873
The three-part test in Caparo,LEGAL_TEST,0.999791801
"39     With the fall of the two-stage test in Anns, another approach to determine the existence of a duty of care emerged.",UNCAT,0.752782404
"In Smith v Eric S Bush [1990] 1 AC 831, Lord Griffiths, in dealing with the question of when the law deems a person who has given advice to have assumed responsibility to the recipient who has acted on it and suffered damage, replied (at 865):",CONCLUSION,0.357511222
"I would answer – only if it is foreseeable that if the advice is negligent the recipient is likely to suffer damage, that there is a sufficiently proximate relationship between the parties and that it is just and reasonable to impose the liability.",UNCAT,0.942844927
This trend towards a three-part test was summarised by Lord Bridge of Harwich in Caparo ([23] supra) thus (at 617–618):,LEGAL_TEST,0.942682028
"What emerges is that, in addition to the foreseeability of damage, necessary ingredients in any situation giving rise to a duty of care are that there should exist between the party owing the duty and the party to whom it is owed a relationship characterised by the law as one of “proximity” or “neighbourhood” and that the situation should be one in which the court considers it fair, just and reasonable that the law should impose a duty of a given scope upon the one party for the benefit of the other.",UNCAT,0.687512994
"40     The three-part test in Caparo is, by no means, unambiguous in its application; indeed, the very judges who had formulated it expressed their belief that it was unlikely to be a workable test.",LEGAL_TEST,0.96959734
Lord Bridge himself cautioned (at 618) that:,UNCAT,0.999997735
"[T]he concepts of proximity and fairness embodied in these additional ingredients are not susceptible of any such precise definition as would be necessary to give them utility as practical tests, but amount in effect to little more than convenient labels to attach to the features of different specific situations which, on a detailed examination of all the circumstances, the law recognises pragmatically as giving rise to a duty of care of a given scope.",UNCAT,0.758957565
"Similarly, Lord Roskill gave a warning (at 628) that:",LEGAL_TEST,0.99782145
"Phrases such as “foreseeability,” “proximity,” “neighbourhood,” ”just and reasonable,” “fairness,” … will be found used from time to time in the different cases.",LEGAL_TEST,0.905251503
But … such phrases are not precise definitions.,UNCAT,0.940032542
"At best they are but labels or phrases descriptive of the very different factual situations which can exist in particular cases and which must be carefully examined in each case before it can be pragmatically determined whether a duty of care exists and, if so, what is the scope and extent of that duty.",UNCAT,0.962350249
"In other words, some overlapping or merging of the three criteria will occur according to the particular circumstances: see also Steyn LJ’s comments in Elguzouli-Daf v Commission of Police of the Metropolis [1995] QB 335 at 349.",LEGAL_TEST,0.819110632
"In a similar vein, in Marc Rich & Co AG v Bishop Rock Marine Co Ltd [1994] 1 WLR 1071, Balcombe LJ said (at 1088) that he doubted whether the words “fair, just and reasonable” imposed a test additional to that of “proximity”.",LEGAL_TEST,0.550760269
He went on to state that “these are criteria to be adopted in considering whether the necessary degree of proximity exists”.,UNCAT,0.600468397
The incremental approach,UNCAT,0.999931216
"41     Additionally, it ought to be noted that the House of Lords in Caparo also endorsed the incremental approach advocated by Brennan J in the Australian High Court decision of Sutherland ([36] supra).",LEGAL_TEST,0.392315924
Lord Bridge observed (at 618) that:,UNCAT,1
"Whilst recognising, of course, the importance of the underlying general principles common to the whole field of negligence, I think the law has now moved in the direction of attaching greater significance to the more traditional categorisation of distinct and recognisable situations as guides to the existence, the scope and the limits of the varied duties of care which the law imposes.",AXIOM,0.629968226
"42     Although the English courts have accepted incrementalism as a useful guide, Prof Keith Stanton has noted in “Incremental Approaches to the Duty of Care” (in Torts in the Nineties (Nicholas J Mullany ed) (LBC Information Services, 1997) at p 44), that no consistent pattern emerges to indicate what the courts understand by this term.",UNCAT,0.618273854
"Prof Stanton is of the view (at p 39) that, at a general level, “incrementalism may be regarded as restoring a traditional method of adjudication to the tort of negligence” in that it remains intertwined with a formula-based approach, and that the general principle should henceforth be applied in a more cautious manner.",AXIOM,0.522897243
"On the other hand, at a more detailed level, incrementalism can be taken to mean the development of “pockets of duty of care”, modified and developed by the slow incremental accretion of case law, in lieu of a general principle which provides the basis of analysis.",UNCAT,0.801269472
"Indeed, the three-part test in Caparo stands in apparent distinction from the incremental approach which was, somewhat curiously, advocated in the same case.",LEGAL_TEST,0.989429772
"43     If incrementalism is intended to return the development of liability in negligence to the basis that discrete sets of rules should govern different factual scenarios, the central problem, as Prof Stanton noted at p 48, is that it requires a return to an approach which has been systematically destroyed since Donoghue v Stevenson, as generations of lawyers have since been trained to believe that the tort of negligence is based on a common general principle.",AXIOM,0.530996501
"In this respect, we agree with Lord Bingham of Cornhill in Customs and Excise Commissioners v Barclays Bank plc [2007] 1 AC 181 (“Customs and Excise Commissioners”), where he observed (at [7]) that the “incremental test is of little value as a test in itself, and is only helpful when used in combination with a test or principle which identifies the legally significant features of a situation”.",LEGAL_TEST,0.84694016
"In our view, incrementalism is not a distinct and alternative method which results in a plethora of discrete sets of rules (as opposed to a set of general (and universal) principles).",UNCAT,0.925860703
"Instead, it is an analogical process to apply specific facts to the general principle.",AXIOM,0.708774507
"According to this approach, a court should, when applying the specific step of the general principle, utilise the incremental methodology to decide first whether that specific step (or criterion) can be satisfied with reference to decided cases.",UNCAT,0.568914294
This will provide an essential check to any unwarranted expansion of liability for negligent acts.,UNCAT,0.983927548
"However, as we will further observe (at [72] below), where there are no decided cases, recourse to general principles is not only valid but also desirable.",AXIOM,0.516468704
"Such an approach, an interaction of the universal with the particular (see [28] above), would, in our view, aid in the development of a rational and purposive concept of negligence which can achieve fairness and justice in each case.",UNCAT,0.718535423
Other tests,UNCAT,1
44     The cases referred to above may be regarded as the main current in the search for a test for the existence of a duty of care in novel situations.,UNCAT,0.52174145
"But there have been other side-currents, particularly in relation to liability for psychiatric harm and negligent misstatements causing pure economic loss.",UNCAT,0.999481738
A line of authority from Hedley Byrne & Co Ltd v Heller & Partners Ltd [1964] AC 465 (“Hedley Byrne”) has grounded liability for the latter on an assumption of responsibility towards the recipient of the statement in question and reliance by him on its accuracy.,AXIOM,0.559927404
"45     As for acts or omissions causing pure economic loss, English law currently prevents recovery for such claims.",UNCAT,0.885266483
"In Murphy ([38] supra), the House of Lords adopted what is known as the “exclusionary rule” in relation to cases involving pure economic loss flowing from careless acts or omissions.",UNCAT,0.783360124
"Lord Oliver of Aylmerton said (at 487) that if the infliction of loss by the defendant on the claimant was to be categorised as wrongful, it was necessary to find some factor beyond the mere occurrence of the loss and the fact that its occurrence could be foreseen.",CONCLUSION,0.548877478
What was necessary was evidently a relationship of proximity so close that it was “akin to contract” (per Lord Bridge of Harwich in Murphy at 481) to introduce the element of reliance such that the scope of the duty of care owed by the defendant to the claimant was wide enough to embrace pure economic loss.,LEGAL_TEST,0.497493327
Lord Oliver further noted that the categorisation of damage as economic served at least the useful purpose of indicating that something more was required.,UNCAT,0.996235788
"However, it has long been recognised that the effect of Murphy is simply that English law will deny the existence of a duty of care to any individual suffering pure economic loss caused by careless acts or omissions where there is neither personal injury nor property damage: see Charlesworth & Percy on Negligence (Sweet & Maxwell, 11th Ed, 2006) at para 2-134.",UNCAT,0.414680123
The reason for this appears to be a fear of indeterminate liability owing to the fluid nature of pure economic losses which are not strictly restricted by the physical interaction of the parties involved (see further [66] below).,CONCLUSION,0.582514465
Current position in England,UNCAT,1
46     The search for clarity and certainty in a single formula has proved to be elusive even some 60 years after the first articulation of the “neighbour” principle in Donoghue v Stevenson.,UNCAT,0.663927853
Lord Oliver of Aylmerton lamented in Caparo ([23] supra at 633) thus:,CONCLUSION,0.555872619
… I think that it has to be recognised that to search for any single formula which will serve as a general test of liability is to pursue a will-o’-the wisp.,LEGAL_TEST,0.627090812
"The fact is that once one discards, as it is now clear that one must, the concept of foreseeability of harm as the single exclusive test – even a prima facie test – of the existence of the duty of care, the attempt to state some general principle which will determine liability in an infinite variety of circumstances serves not to clarify the law but merely to bedevil its development in a way which corresponds with practicality and common sense.",AXIOM,0.477962226
"47     In Customs and Excise Commissioners v Barclays Bank plc [2005] 1 WLR 2082, Longmore LJ identified (at [23]) three separate and independent tests in England to find a duty of care:",LEGAL_TEST,0.747997224
The modern law of negligence derives primarily from four decisions of the House of Lords: Caparo Industries plc v Dickman [1990] 2 AC 605; Henderson v Merrett Syndicates Ltd [1995] 2 AC 145; White v Jones [1995] 2 AC 207 and Phelps v Hillingdon London Borough Council [2001] 2 AC 619.,LEGAL_TEST,0.962009907
"Caparo laid down the threefold test of foreseeability, proximity and fairness and emphasised the desirability of incremental development: see in particular Lord Bridge of Harwich, at pp 617–618.",LEGAL_TEST,0.975288689
Henderson and White both emphasised the concept of assumption of responsibility in cases where the negligent performance of services had caused economic loss.,UNCAT,0.998617887
"In the light of these authorities this court has held (see Bank of Credit and Commerce International (Overseas) Ltd v Price Waterhouse [1998] BCC 617) that an appropriate course for ascertaining whether there is a duty of care, at least in an economic loss case, is to look at any new set of facts by using each of the three approaches in turn, viz, the threefold test, the voluntary assumption of responsibility test and the incremental test – “if the facts are properly analysed and the policy considerations are correctly evaluated the several approaches will yield the same result”: per Sir Brian Neill, at p 634.",LEGAL_TEST,0.523758888
"48     The judicial response of Longmore LJ that has led to the establishment of no less than three separate tests for duty, in our view, puts paid to the search for a general principle applicable to all situations where tortious liability may arise.",AXIOM,0.827642441
"Damage arising from different situations (viz, pure economic loss or physical damage) is seen to require the application of different tests, and even within the rubric of physical damage, there is some confusion as regards which of the three tests is applicable to determine a duty of care.",UNCAT,0.882198095
"49     On appeal in Customs and Excise Commissioners ([43] supra), the House of Lords did not express a definitive view on whether or not the three “tests” mentioned by Longmore LJ were substantive tests in their own right and were all to be applied in any given case.",CONCLUSION,0.787242055
"Indeed, the general position adopted by the House itself is, with respect, none too clear (see also Steven Gee, “The Remedies Carried by a Freezing Injunction” (2006) 122 LQR 535, especially at 536).",UNCAT,0.920947611
"Thus, as Andrew Phang Boon Leong J (as he then was) observed in Sunny Metal & Engineering Pte Ltd v Ng Khim Ming Eric [2007] 1 SLR(R) 853 (“Sunny Metal”) at [79], the position in England, even at the present, continues to be in a “state of flux and confusion”.",UNCAT,0.871980071
"This situation does not make it easier for the Singapore courts, but it does present them with an opportunity to revisit the subject and to try to fashion a general test that is principled and logical and capable of practical application to all cases where damage is caused by a negligent act.",UNCAT,0.390121728
"In this connection, it should be borne in mind that all such problems that come before the courts are evaluated and assessed on a retrospective and not a prospective basis; the damage has arisen and the only question is whether there is liability for it.",UNCAT,0.769917667
"This condition should, in most situations, give the courts an advantage in being able to see whether, on the facts of the case, the application of the test is likely to lead to an unmanageable expansion of liability for negligent acts or omissions that may be detrimental to the national welfare.",UNCAT,0.693361461
The different tests in Singapore,UNCAT,1
50     We turn now to examine the current position in Singapore.,UNCAT,0.999999404
"The decisions have, as with the case in England, applied different tests to different types of damages claimed.",UNCAT,0.930470228
"For convenience, we will deal first with cases of pure economic loss and then cases of physical damage.",UNCAT,0.999839783
“Two-stage process” for cases of pure economic loss,UNCAT,0.99999845
"51     As we have stated earlier, the courts in Singapore have in certain cases declined to apply the “exclusionary rule” adopted by the House of Lords in Murphy ([38] supra) and have held that pure economic loss is recoverable in tort: see RSP Architects Planners & Engineers v Ocean Front Pte Ltd [1995] 3 SLR(R) 653 (“Ocean Front”) which concerned the faulty construction of common property in a condominium.",AXIOM,0.353785157
"The rationale for this departure from the English position was explained in the subsequent case of RSP Architects Planners & Engineers v MCST Plan No 1075 [1999] 2 SLR(R) 134 (“Eastern Lagoon”), where this court stated (at [43]) that there were cogent policy reasons to allow for claims of pure economic loss in relation to immovable property since land was scarce in Singapore and the financial outlay in such properties represented a significant investment in a person’s lifetime.",UNCAT,0.658081949
"52     In Ocean Front, the management corporation (“MC”) of Bayshore Park Condominium took out a writ against the developer of that condominium for damages arising out of the faulty construction of common property.",UNCAT,0.792761981
This court applied the two-stage test in Anns ([23] supra) and relied on Junior Books Ltd v Veitchi Co Ltd [1983] 1 AC 520 (“Junior Books”) and found the developer liable in negligence for economic loss caused to the MC with whom the developer had no contractual relationship.,AXIOM,0.679060221
"The approach which this court took was that it first considered whether there was (on the facts of the case) sufficient proximity between the parties, which would give rise to a duty of care.",UNCAT,0.903421462
"L P Thean JA, who delivered the judgment of the court, observed (at [69]):",UNCAT,0.322154254
But the approach of the court has been to examine a particular circumstance to determine whether there exists that degree of proximity between the plaintiff and the defendant as would give rise to a duty of care by the latter to the former with respect to the damage sustained by the former.,UNCAT,0.920713544
Such proximity is the ‘determinant’ of the duty of care and also the scope of such duty. … [,UNCAT,0.932515383
emphasis added],UNCAT,1
53     This court found that there was a duty of care from the combination of several factors evidencing proximity:,UNCAT,0.786256969
(a)     the developer developed the condominium (which included the common property as part of it) and undertook that the condominium would be constructed in a good and workmanlike manner;,UNCAT,0.952284038
"(b)     after completion of the condominium, the developer remained the legal owner of the common property and was responsible for its maintenance and upkeep;",UNCAT,0.991281748
(c)     the developer incorporated the MC to hold and to maintain the common property; and,UNCAT,0.984954953
"(d)     the developer was obviously aware that if the common property was defective as a result of defective workmanship, any damage to it would have to be made good by the MC.",UNCAT,0.945663035
The relationship between the developer and the MC was as close as could be short of actual privity of contract.,UNCAT,0.992200315
"54     Having found that there was proximity on these bases, this court then proceeded “to consider whether there is any policy consideration in negativing such [a] duty of care” (at [75]).",UNCAT,0.789828718
It found no policy reason negativing the duty of care primarily because the ambit of liability was determinate.,UNCAT,0.999195158
"Indeed, in our view, for the very reasons given by the court in deciding that there was proximity in that case, the policy considerations would be in favour of imposing liability on the developer.",UNCAT,0.974845827
"55      Ocean Front was followed by Eastern Lagoon ([51] supra), in which this court revisited its holdings in Ocean Front.",LEGAL_TEST,0.904205084
This court expressly rejected the “two-stage test” in Anns but adopted what was substantively a similar test.,LEGAL_TEST,0.996249378
"L P Thean JA, who delivered the judgment of the court, observed thus (at [18]):",UNCAT,0.99710089
It seems to us that what is objectionable in that passage [containing Lord Wilberforce’s test in Anns] is firstly his Lordship’s sweeping proposition of a single general rule or principle which can be applied in every situation to determine whether a duty of care arises and secondly the fact that the test propounded by his Lordship in the first stage was based on foreseeability of damage alone. …,AXIOM,0.426557392
"And later, at [29]–[30]:",UNCAT,0.999948978
It is abundantly clear that in Ocean Front this court did not follow the broad proposition laid down by Lord Wilberforce in Anns.,CONCLUSION,0.933632314
"True, the court reached its conclusion by a two-stage process.",UNCAT,0.999962568
"In principle, there is no objection to such approach.",AXIOM,0.984227479
It depends on what is involved and considered in each stage.,UNCAT,0.999956369
The court certainly did not apply the first test in Anns.,UNCAT,0.941270471
